"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"LUX","ENROLMENT","20_29_MEN","PC_AGE","A","2014",13.2,
"LUX","ENROLMENT","15_19_WOMEN","PC_AGE","A","2014",77.3,
"LUX","ENROLMENT","20_29_WOMEN","PC_AGE","A","2014",12.5,
"MEX","ENROLMENT","15_19_MEN","PC_AGE","A","2014",55.6,
"MEX","ENROLMENT","20_29_MEN","PC_AGE","A","2014",15.2,
"MEX","ENROLMENT","15_19_WOMEN","PC_AGE","A","2014",55.6,
"MEX","ENROLMENT","20_29_WOMEN","PC_AGE","A","2014",14.2,
"NLD","ENROLMENT","15_19_MEN","PC_AGE","A","2014",91.3,
"NLD","ENROLMENT","20_29_MEN","PC_AGE","A","2014",32.2,
"NLD","ENROLMENT","15_19_WOMEN","PC_AGE","A","2014",93,
"NLD","ENROLMENT","20_29_WOMEN","PC_AGE","A","2014",31.7,
"NZL","ENROLMENT","15_19_MEN","PC_AGE","A","2014",79.6,
"NZL","ENROLMENT","20_29_MEN","PC_AGE","A","2014",28,
"NZL","ENROLMENT","15_19_WOMEN","PC_AGE","A","2014",84.9,
"NZL","ENROLMENT","20_29_WOMEN","PC_AGE","A","2014",30.7,
"NOR","ENROLMENT","15_19_MEN","PC_AGE","A","2014",86.9,
"NOR","ENROLMENT","20_29_MEN","PC_AGE","A","2014",28.4,
"NOR","ENROLMENT","15_19_WOMEN","PC_AGE","A","2014",87.1,
"NOR","ENROLMENT","20_29_WOMEN","PC_AGE","A","2014",33.2,
"POL","ENROLMENT","15_19_MEN","PC_AGE","A","2014",88.9,
"POL","ENROLMENT","20_29_MEN","PC_AGE","A","2014",25.7,
"POL","ENROLMENT","15_19_WOMEN","PC_AGE","A","2014",89.7,
"POL","ENROLMENT","20_29_WOMEN","PC_AGE","A","2014",36.5,
"PRT","ENROLMENT","15_19_MEN","PC_AGE","A","2014",88.2,
"PRT","ENROLMENT","20_29_MEN","PC_AGE","A","2014",23.7,
"PRT","ENROLMENT","15_19_WOMEN","PC_AGE","A","2014",90.2,
"PRT","ENROLMENT","20_29_WOMEN","PC_AGE","A","2014",24.7,
"SVK","ENROLMENT","15_19_MEN","PC_AGE","A","2014",83.9,
"SVK","ENROLMENT","20_29_MEN","PC_AGE","A","2014",17.1,
"SVK","ENROLMENT","15_19_WOMEN","PC_AGE","A","2014",85.5,
"SVK","ENROLMENT","20_29_WOMEN","PC_AGE","A","2014",24,
"ESP","ENROLMENT","15_19_MEN","PC_AGE","A","2014",85.9,
"ESP","ENROLMENT","20_29_MEN","PC_AGE","A","2014",29.5,
"ESP","ENROLMENT","15_19_WOMEN","PC_AGE","A","2014",88.5,
"ESP","ENROLMENT","20_29_WOMEN","PC_AGE","A","2014",31.7,
"SWE","ENROLMENT","15_19_MEN","PC_AGE","A","2014",85.7,
"SWE","ENROLMENT","20_29_MEN","PC_AGE","A","2014",29.1,
"SWE","ENROLMENT","15_19_WOMEN","PC_AGE","A","2014",85,
"SWE","ENROLMENT","20_29_WOMEN","PC_AGE","A","2014",40.1,
"CHE","ENROLMENT","15_19_MEN","PC_AGE","A","2014",86.4,
"CHE","ENROLMENT","20_29_MEN","PC_AGE","A","2014",27,
"CHE","ENROLMENT","15_19_WOMEN","PC_AGE","A","2014",84.5,
"CHE","ENROLMENT","20_29_WOMEN","PC_AGE","A","2014",26.5,
"TUR","ENROLMENT","15_19_MEN","PC_AGE","A","2014",72.2,
"TUR","ENROLMENT","20_29_MEN","PC_AGE","A","2014",36.1,
"TUR","ENROLMENT","15_19_WOMEN","PC_AGE","A","2014",72.2,
"TUR","ENROLMENT","20_29_WOMEN","PC_AGE","A","2014",31.5,
"GBR","ENROLMENT","15_19_MEN","PC_AGE","A","2014",83.1,
"GBR","ENROLMENT","20_29_MEN","PC_AGE","A","2014",20.2,
"GBR","ENROLMENT","15_19_WOMEN","PC_AGE","A","2014",86.2,
"GBR","ENROLMENT","20_29_WOMEN","PC_AGE","A","2014",23.4,
"USA","ENROLMENT","15_19_MEN","PC_AGE","A","2014",79.7,
"USA","ENROLMENT","20_29_MEN","PC_AGE","A","2014",22.6,
"USA","ENROLMENT","15_19_WOMEN","PC_AGE","A","2014",83.5,
"USA","ENROLMENT","20_29_WOMEN","PC_AGE","A","2014",28.4,
"BRA","ENROLMENT","15_19_MEN","PC_AGE","A","2014",68.4,
"BRA","ENROLMENT","20_29_MEN","PC_AGE","A","2014",19.3,
"BRA","ENROLMENT","15_19_WOMEN","PC_AGE","A","2014",70.2,
"BRA","ENROLMENT","20_29_WOMEN","PC_AGE","A","2014",22.8,
"CHL","ENROLMENT","15_19_MEN","PC_AGE","A","2014",78.4,
"CHL","ENROLMENT","20_29_MEN","PC_AGE","A","2014",27.7,
"CHL","ENROLMENT","15_19_WOMEN","PC_AGE","A","2014",80.8,
"CHL","ENROLMENT","20_29_WOMEN","PC_AGE","A","2014",30,
"CHN","ENROLMENT","15_19_MEN","PC_AGE","A","2014",56.3,
"CHN","ENROLMENT","20_29_MEN","PC_AGE","A","2014",7.9,
"CHN","ENROLMENT","15_19_WOMEN","PC_AGE","A","2014",64.6,
"CHN","ENROLMENT","20_29_WOMEN","PC_AGE","A","2014",8.7,
"COL","ENROLMENT","15_19_MEN","PC_AGE","A","2014",44,
"COL","ENROLMENT","20_29_MEN","PC_AGE","A","2014",1.5,
"COL","ENROLMENT","15_19_WOMEN","PC_AGE","A","2014",43.2,
"COL","ENROLMENT","20_29_WOMEN","PC_AGE","A","2014",1.8,
"EST","ENROLMENT","15_19_MEN","PC_AGE","A","2014",88.6,
"EST","ENROLMENT","20_29_MEN","PC_AGE","A","2014",25.4,
"EST","ENROLMENT","15_19_WOMEN","PC_AGE","A","2014",90.7,
"EST","ENROLMENT","20_29_WOMEN","PC_AGE","A","2014",33.5,
"IND","ENROLMENT","20_29_MEN","PC_AGE","A","2014",,"M"
"IND","ENROLMENT","20_29_WOMEN","PC_AGE","A","2014",,"M"
"IDN","ENROLMENT","15_19_MEN","PC_AGE","A","2014",72.1,
"IDN","ENROLMENT","20_29_MEN","PC_AGE","A","2014",12.7,
"IDN","ENROLMENT","15_19_WOMEN","PC_AGE","A","2014",70.6,
"IDN","ENROLMENT","20_29_WOMEN","PC_AGE","A","2014",13.9,
"ISR","ENROLMENT","15_19_MEN","PC_AGE","A","2014",63.3,
"ISR","ENROLMENT","20_29_MEN","PC_AGE","A","2014",19.3,
"ISR","ENROLMENT","15_19_WOMEN","PC_AGE","A","2014",67.8,
"ISR","ENROLMENT","20_29_WOMEN","PC_AGE","A","2014",25.5,
"LVA","ENROLMENT","15_19_MEN","PC_AGE","A","2014",91.3,
"LVA","ENROLMENT","20_29_MEN","PC_AGE","A","2014",25.5,
"LVA","ENROLMENT","15_19_WOMEN","PC_AGE","A","2014",92.5,
"LVA","ENROLMENT","20_29_WOMEN","PC_AGE","A","2014",32.1,
"RUS","ENROLMENT","15_19_MEN","PC_AGE","A","2014",81.6,
"RUS","ENROLMENT","20_29_MEN","PC_AGE","A","2014",17.8,
"RUS","ENROLMENT","15_19_WOMEN","PC_AGE","A","2014",84.8,
"RUS","ENROLMENT","20_29_WOMEN","PC_AGE","A","2014",20.3,
"SAU","ENROLMENT","15_19_MEN","PC_AGE","A","2014",78.2,
"SAU","ENROLMENT","20_29_MEN","PC_AGE","A","2014",4.5,
"SAU","ENROLMENT","15_19_WOMEN","PC_AGE","A","2014",79.4,
"SAU","ENROLMENT","20_29_WOMEN","PC_AGE","A","2014",4.4,
"SVN","ENROLMENT","15_19_MEN","PC_AGE","A","2014",93.8,
"SVN","ENROLMENT","20_29_MEN","PC_AGE","A","2014",26.5,
"SVN","ENROLMENT","15_19_WOMEN","PC_AGE","A","2014",92.5,
"SVN","ENROLMENT","20_29_WOMEN","PC_AGE","A","2014",38,
"CRI","ENROLMENT","15_19_MEN","PC_AGE","A","2014",31.6,
"CRI","ENROLMENT","20_29_MEN","PC_AGE","A","2014",5,
"CRI","ENROLMENT","15_19_WOMEN","PC_AGE","A","2014",49.7,
"CRI","ENROLMENT","20_29_WOMEN","PC_AGE","A","2014",5.3,
"LTU","ENROLMENT","15_19_MEN","PC_AGE","A","2014",92.7,
"LTU","ENROLMENT","20_29_MEN","PC_AGE","A","2014",28.7,
"LTU","ENROLMENT","15_19_WOMEN","PC_AGE","A","2014",94.2,
"LTU","ENROLMENT","20_29_WOMEN","PC_AGE","A","2014",36,
